OBJECT_NAME,OBJECT_ID,epoch_iso,mm_rev_day,ecc,inc_deg,raan_deg,argp_deg,mean_anom_deg,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,norad,ELEMENT_SET_NO,REV_AT_EPOCH,bstar,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,"Invalid query: ""GROUP=rocket-bodies&FORMAT=csv"" (GROUP=rocket-bodies not found)",label
STARLINK-34907,2025-176R,2025-09-04T22:00:03.000096,15.51296647,0.00014525,53.1596,300.3456,80.8656,196.5213,0.0,U,65213,999.0,465.0,-0.028175675,-0.01521682,0.0,,Payload
STARLINK-34511,2025-176S,2025-09-04T22:00:03.000096,15.51294903,0.00013976,53.1596,300.3493,86.2464,189.2266,0.0,U,65214,999.0,459.0,-0.028231937,-0.01524326,0.0,,Payload
STARLINK-33913,2025-176T,2025-09-04T22:00:03.000096,15.51290193,0.00012108,53.1592,300.3406,86.2914,193.0165,0.0,U,65215,999.0,465.0,-0.02797084,-0.01511237,0.0,,Payload
STARLINK-34302,2025-176U,2025-09-04T22:00:03.000096,15.51291249,0.00012292,53.1594,300.3288,84.8725,200.1844,0.0,U,65216,999.0,465.0,-0.027997763,-0.01512615,0.0,,Payload
STARLINK-34871,2025-176V,2025-09-04T22:00:03.000096,15.51295809,0.00013305,53.1593,300.3251,78.7443,208.2276,0.0,U,65217,999.0,465.0,-0.028181759,-0.01521889,0.0,,Payload
STARLINK-34833,2025-176W,2025-09-04T22:00:03.000096,15.51296268,0.00013654,53.1595,300.3211,80.8838,208.0047,0.0,U,65218,999.0,465.0,-0.028193748,-0.01522512,0.0,,Payload
STARLINK-34960,2025-176X,2025-09-04T22:00:03.000096,15.51293589,0.00014175,53.1595,300.3167,85.4726,205.3351,0.0,U,65219,999.0,465.0,-0.028102931,-0.01517956,0.0,,Payload
STARLINK-34603,2025-176Y,2025-09-04T22:00:03.000096,15.5129402,0.00013,53.1594,300.3133,79.8178,212.905,0.0,U,65220,999.0,465.0,-0.028091376,-0.01517364,0.0,,Payload
STARLINK-34974,2025-176Z,2025-09-04T22:00:03.000096,15.51294694,0.00013386,53.1594,300.3091,85.7738,208.8667,0.0,U,65221,999.0,465.0,-0.028122735,-0.01518948,0.0,,Payload
STARLINK-34999,2025-176AA,2025-09-04T22:00:03.000096,15.51288867,0.00012858,53.1595,300.305,88.1815,208.3777,0.0,U,65222,999.0,465.0,-0.027899889,-0.01507724,0.0,,Payload
STARLINK-34996,2025-176AB,2025-09-04T22:00:03.000096,15.51291257,0.00013553,53.1591,300.2928,82.9299,219.3795,0.0,U,65223,999.0,465.0,-0.028050368,-0.01515242,0.0,,Payload
STARLINK-34975,2025-176AC,2025-09-04T22:00:03.000096,15.51291351,0.00012567,53.1592,300.2975,93.3946,206.9983,0.0,U,65224,999.0,465.0,-0.027978754,-0.015117,0.0,,Payload
